"Begin Time - ss.msec","End Time - ss.msec","*TIME","Motion","Mom Grab","RHInteract","LHGrasp","LHInteract","RHGrasp","Interact Comment","Mouth","Grasp Comment","Interact  Comment","Mom Grab Comment","Mon Grab comment","Interact comment","Motion Comment","Mouth Comment","Momgrab comment","Grasp comment","Motion comment","Momgrab","Mouth comment","motion comment","grasp comment","moith comment","interact comment","Mom action","Mom action comment","inInteract comment","mouth comment","RHinteract","LHinteract","Mom Actions","File","File Path"
392.306,395.714,,"Shak-b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
395.599,407.114,,,,"i",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
396.4,407.114,,,,,,,"ig",,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
396.826,400.429,,"Shak-b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
400.902,401.052,,"Drop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
402.314,403.301,,"Shak-b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
407.103,407.114,,"Drop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
407.114,407.369,"End Toy PLay - by BK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"

108.906,109.519,"START",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"002_07_081407_TS_babyhands_HL.eaf"
108.906,127.986,,,,,,,"ig",,,,,,,,,,,,,,,,,,,,,,,,,,"002_07_081407_TS_babyhands_HL.eaf"
108.906,128.761,,,,"i",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"002_07_081407_TS_babyhands_HL.eaf"
